Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/21  01:00:00,399755295.165475,0.0,0.0,0.0,184543200.,0.0,43999912.0879121,146050764.923325,25161418.1542382,0.0,7060935082.30461,7053047824.79851,7887257.50610014 
 01/21  02:00:00,397462629.484036,0.0,0.0,0.0,184543200.,0.0,43999912.0879121,143765480.299578,25154037.0965451,0.0,6986095726.50413,6978208408.31916,7887318.18497238 
 01/21  03:00:00,397522860.308277,0.0,0.0,0.0,184543200.,0.0,43999912.0879121,143765480.299578,25214267.9207861,0.0,6993630681.98602,6985743437.21836,7887244.76765838 
 01/21  04:00:00,397568510.237592,0.0,0.0,0.0,184543200.,0.0,43999912.0879121,143765480.299578,25259917.8501014,0.0,7005893726.47411,6990191200.16458,15702526.3095238 
 01/21  05:00:00,441536117.214528,0.0,0.0,0.0,184543200.,0.0,87999824.1758242,143765480.299578,25227612.7391257,0.0,6995094079.914,6987206798.40583,7887281.5081678 
 01/21  06:00:00,529574667.159642,0.0,0.0,0.0,184543200.,0.0,175999648.351648,143765480.299578,25266338.5084154,0.0,7007013141.97585,6991288394.92364,15724747.0522103 
 01/21  07:00:00,706793009.252238,0.0,0.0,0.0,184543200.,0.0,351999296.703297,148722910.654736,21527601.8942051,0.0,6660564047.78498,6644846403.18166,15717644.6033219 
 01/21  08:00:00,677284875.55568,0.0,0.0,0.0,58438680.,0.0,439999120.879121,148722910.654736,30124164.0218227,0.0,9933117438.90613,9917369352.13002,15748086.7761074 
 01/21  09:00:00,618762142.031178,0.0,0.0,0.0,0.0,0.0,439999120.879121,148722910.654736,30040110.497321,0.0,9945865120.56349,9914379978.30112,31485142.2623686 
 01/21  10:00:00,486722961.933691,0.0,0.0,0.0,0.0,0.0,307999384.615384,148722910.654736,30000666.6635706,0.0,9945429497.76753,9905976218.51473,39453279.2527976 
 01/21  11:00:00,310684167.874271,0.0,0.0,0.0,0.0,0.0,131999736.263736,148722910.654736,29961520.9557987,0.0,9937353764.40889,9899924776.22711,37428988.1817793 
 01/21  12:00:00,310665267.451938,0.0,0.0,0.0,0.0,0.0,131999736.263736,148722910.654736,29942620.5334651,0.0,9936742842.78837,9895272752.82731,41470089.9610561 
 01/21  13:00:00,310638588.114787,0.0,0.0,0.0,0.0,0.0,131999736.263736,148722910.654736,29915941.1963147,0.0,9930892168.98682,9891458369.12202,39433799.8647985 
 01/21  14:00:00,310620338.230482,0.0,0.0,0.0,0.0,0.0,131999736.263736,148722910.654736,29897691.3120101,0.0,9920084330.32581,9888538203.70712,31546126.6186932 
 01/21  15:00:00,310598726.091892,0.0,0.0,0.0,0.0,0.0,131999736.263736,148722910.654736,29876079.1734199,0.0,9917359385.5465,9885875616.63841,31483768.9080888 
 01/21  16:00:00,310582055.410497,0.0,0.0,0.0,0.0,0.0,131999736.263736,148722910.654736,29859408.4920247,0.0,9907125112.54591,9883516033.70263,23609078.8432873 
 01/21  17:00:00,529632849.243843,0.0,0.0,0.0,43060080.,0.0,307999384.615384,148722910.654736,29850473.9737223,0.0,9905097893.36422,9881477593.48781,23620299.8764117 
 01/21  18:00:00,803094564.608885,0.0,0.0,0.0,184543200.,0.0,439999120.879121,148722910.654736,29829333.075028,0.0,9895635416.41521,9879917755.44151,15717660.9736947 
 01/21  19:00:00,795445819.939683,0.0,0.0,0.0,184543200.,0.0,439999120.879121,146050764.923325,24852734.1372373,0.0,7048802256.40673,7033084517.54478,15717738.8619469 
 01/21  20:00:00,705285697.231206,0.0,0.0,0.0,184543200.,0.0,351999296.703297,143765480.299578,24977720.2283317,0.0,6967720660.40916,6952003056.97656,15717603.4325957 
 01/21  21:00:00,705394428.940531,0.0,0.0,0.0,184543200.,0.0,351999296.703297,143765480.299578,25086451.9376559,0.0,6974683316.76677,6966788981.72394,7894335.0428339 
 01/21  22:00:00,617471315.167996,0.0,0.0,0.0,184543200.,0.0,263999472.527472,143765480.299578,25163162.3409455,0.0,6998764462.85361,6975201248.97577,23563213.8778448 
 01/21  23:00:00,529450332.928858,0.0,0.0,0.0,184543200.,0.0,175999648.351648,143765480.299578,25142004.2776317,0.0,6982950374.27123,6975063140.52396,7887233.74726804 
 01/21  24:00:00,441498564.682666,0.0,0.0,0.0,184543200.,0.0,87999824.1758242,143765480.299578,25190060.207264,0.0,6989159154.56902,6981271865.46245,7887289.10657798 
 07/21  01:00:00,4863893068.51385,0.0,607967935.10375,1794266174.45477,184543200.,1794266174.45477,43999912.0879121,82483919.4448103,221933511.709856,134432241.257973,72000.,0.0,72000. 
 07/21  02:00:00,5420725860.97201,0.0,1009468795.24418,1794266174.45477,184543200.,1794266174.45477,43999912.0879121,112590201.122641,300264194.469069,181327209.138662,7881252.25612927,0.0,7881252.25612927 
 07/21  03:00:00,5456992808.00175,0.0,1089170652.68736,1794266174.45477,184543200.,1794266174.45477,43999912.0879121,100365631.922692,278432846.831715,171948215.562524,7881184.70020013,0.0,7881184.70020013 
 07/21  04:00:00,5265927673.48796,0.0,962837207.080071,1794266174.45477,184543200.,1794266174.45477,43999912.0879121,96274394.0195584,245929376.55676,143811234.834111,7881199.26884601,0.0,7881199.26884601 
 07/21  05:00:00,5523437124.20223,0.0,1114491021.04401,1794266174.45477,116877360.,1794266174.45477,87999824.1758242,114468552.671695,313488145.878395,187579871.522754,7881213.5247416,0.0,7881213.5247416 
 07/21  06:00:00,5317017439.37728,0.0,980433536.643251,1794266174.45477,0.0,1794266174.45477,175999648.351648,98826842.1985809,291897854.135592,181327209.138662,7888951.37588288,0.0,7888951.37588288 
 07/21  07:00:00,6626043783.74326,0.0,1968871227.11757,1794266174.45477,0.0,1794266174.45477,351999296.703297,214707922.509247,314353116.980842,187579871.522754,15699089.350418,0.0,15699089.350418 
 07/21  08:00:00,6263430419.14946,0.0,1517805996.74415,1794266174.45477,0.0,1794266174.45477,439999120.879121,191188837.489024,338324243.604855,187579871.522754,23606742.4392824,0.0,23606742.4392824 
 07/21  09:00:00,6363441720.37265,0.0,1614399229.15167,1794266174.45477,0.0,1794266174.45477,439999120.879121,192113216.808048,340817933.101507,187579871.522754,39505002.2993799,0.0,39505002.2993799 
 07/21  10:00:00,6291038648.84695,0.0,1676836015.36067,1794266174.45477,0.0,1794266174.45477,307999384.615384,189268283.937675,340822744.50092,187579871.522754,47438537.2581696,0.0,47438537.2581696 
 07/21  11:00:00,6152885024.84319,0.0,1720425235.37753,1794266174.45477,0.0,1794266174.45477,131999736.263736,183523489.38838,340824343.381238,187579871.522754,55352793.683682,0.0,55352793.683682 
 07/21  12:00:00,6198637805.72201,0.0,1766468758.21153,1794266174.45477,0.0,1794266174.45477,131999736.263736,183219998.25436,340837092.560076,187579871.522754,55499134.6803267,0.0,55499134.6803267 
 07/21  13:00:00,6230980945.21574,0.0,1798341684.9876,1794266174.45477,0.0,1794266174.45477,131999736.263736,183674209.549097,340853093.983,187579871.522754,71571930.144854,0.0,71571930.144854 
 07/21  14:00:00,6255029479.88107,0.0,1821880407.89023,1794266174.45477,0.0,1794266174.45477,131999736.263736,184188791.90536,340848323.389443,187579871.522754,71501033.6969569,0.0,71501033.6969569 
 07/21  15:00:00,6294630848.14843,0.0,1853137060.89858,1794266174.45477,0.0,1794266174.45477,131999736.263736,192565507.311101,340816323.242706,187579871.522754,39492637.7452227,0.0,39492637.7452227 
 07/21  16:00:00,6311997714.77524,0.0,1862869954.87102,1794266174.45477,0.0,1794266174.45477,131999736.263736,200201041.362868,340814761.845316,187579871.522754,39479982.1213412,0.0,39479982.1213412 
 07/21  17:00:00,6469707906.01025,0.0,1843425464.53548,1794266174.45477,0.0,1794266174.45477,307999384.615384,201338512.672805,340832323.754272,187579871.522754,55443314.4162802,0.0,55443314.4162802 
 07/21  18:00:00,6554252323.93405,0.0,1801073575.37304,1794266174.45477,0.0,1794266174.45477,439999120.879121,196263832.703533,340803574.546043,187579871.522754,39389134.1676207,0.0,39389134.1676207 
 07/21  19:00:00,6453842174.71855,0.0,1714929889.28099,1794266174.45477,0.0,1794266174.45477,439999120.879121,182005391.208416,340795552.917717,187579871.522754,23621957.766171,0.0,23621957.766171 
 07/21  20:00:00,6375800414.12,0.0,1610056022.45042,1794266174.45477,132255960.,1794266174.45477,351999296.703297,164590903.19257,340786011.341415,187579871.522754,23576731.2147143,0.0,23576731.2147143 
 07/21  21:00:00,6370690022.94223,0.0,1557185989.57651,1794266174.45477,184543200.,1794266174.45477,351999296.703297,160060148.279319,340789167.950802,187579871.522754,15752028.1644202,0.0,15752028.1644202 
 07/21  22:00:00,6237319527.17051,0.0,1514244755.73917,1794266174.45477,184543200.,1794266174.45477,263999472.527472,157645061.201006,340774817.270557,187579871.522754,15704317.6471313,0.0,15704317.6471313 
 07/21  23:00:00,4925071331.97161,0.0,607577092.810739,1794266174.45477,184543200.,1794266174.45477,175999648.351648,71269705.192096,187727744.985973,109421591.721606,7881210.03910394,0.0,7881210.03910394 
 07/21  24:00:00,5237823807.11257,0.0,839428855.733394,1794266174.45477,184543200.,1794266174.45477,87999824.1758242,105884624.026124,271992063.473335,159442890.794341,7881224.64744697,0.0,7881224.64744697 
